,Unnamed: 0,county,demographic_category,demographic_value,est_population,est_age_5plus_pop,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose,cumulative_unvax_total_pop,cumulative_unvax_12plus_pop,cumulative_unvax_5plus_pop,cumulative_booster_recip_count,date,bivalent_booster_recip_count,cumulative_bivalent_booster_recip_count,bivalent_booster_eligible_population,administered_year,up_to_date_count,cumulative_up_to_date_count
0,0,Los Angeles,Age Group,18-49,4408443.0,4408443.0,376.0,402403.0,380.0,3593274.0,390.0,3995677.0,412766.0,412766.0,412766.0,1834241.0,2022-07-05T00:00:00.000,,,,,,
1,1,Los Angeles,Age Group,18-49,4408443.0,4408443.0,372.0,402474.0,320.0,3593594.0,391.0,3996068.0,412375.0,412375.0,412375.0,1835290.0,2022-07-06T00:00:00.000,,,,,,
2,2,Los Angeles,Age Group,18-49,4408443.0,4408443.0,319.0,402524.0,282.0,3593876.0,332.0,3996400.0,412043.0,412043.0,412043.0,1836234.0,2022-07-07T00:00:00.000,,,,,,
3,3,Los Angeles,Age Group,18-49,4408443.0,4408443.0,390.0,402615.0,322.0,3594198.0,413.0,3996813.0,411630.0,411630.0,411630.0,1837377.0,2022-07-08T00:00:00.000,,,,,,
4,4,Los Angeles,Age Group,18-49,4408443.0,4408443.0,243.0,402718.0,150.0,3594348.0,253.0,3997066.0,411377.0,411377.0,411377.0,1838071.0,2022-07-09T00:00:00.000,,,,,,
5,5,Los Angeles,Age Group,18-49,4408443.0,4408443.0,148.0,402776.0,93.0,3594441.0,151.0,3997217.0,411226.0,411226.0,411226.0,1838532.0,2022-07-10T00:00:00.000,,,,,,
6,6,Los Angeles,Age Group,18-49,4408443.0,4408443.0,231.0,402821.0,195.0,3594636.0,240.0,3997457.0,410986.0,410986.0,410986.0,1839301.0,2022-07-11T00:00:00.000,,,,,,
7,7,Los Angeles,Age Group,18-49,4408443.0,4408443.0,6191.0,388408.0,6578.0,2965101.0,6677.0,3353509.0,1054934.0,1054934.0,1054934.0,10997.0,2021-09-01T00:00:00.000,,,,,,
8,8,Los Angeles,Age Group,18-49,4408443.0,4408443.0,5450.0,387478.0,6883.0,2971984.0,5953.0,3359462.0,1048981.0,1048981.0,1048981.0,11640.0,2021-09-02T00:00:00.000,,,,,,
9,9,Los Angeles,Age Group,18-49,4408443.0,4408443.0,6053.0,385790.0,8317.0,2980301.0,6629.0,3366091.0,1042352.0,1042352.0,1042352.0,12605.0,2021-09-03T00:00:00.000,,,,,,
10,10,Los Angeles,Age Group,18-49,4408443.0,4408443.0,3675.0,384839.0,4900.0,2985201.0,3949.0,3370040.0,1038403.0,1038403.0,1038403.0,13038.0,2021-09-04T00:00:00.000,,,,,,
11,11,Los Angeles,Age Group,18-49,4408443.0,4408443.0,2468.0,384608.0,2768.0,2987969.0,2537.0,3372577.0,1035866.0,1035866.0,1035866.0,13312.0,2021-09-05T00:00:00.000,,,,,,
12,12,Los Angeles,Age Group,18-49,4408443.0,4408443.0,1198.0,384358.0,1483.0,2989452.0,1233.0,3373810.0,1034633.0,1034633.0,1034633.0,13410.0,2021-09-06T00:00:00.000,,,,,,
13,13,Los Angeles,Age Group,18-49,4408443.0,4408443.0,4841.0,381529.0,8198.0,2997650.0,5369.0,3379179.0,1029264.0,1029264.0,1029264.0,13888.0,2021-09-07T00:00:00.000,,,,,,
14,14,Los Angeles,Age Group,18-49,4408443.0,4408443.0,5068.0,380450.0,6591.0,3004241.0,5512.0,3384691.0,1023752.0,1023752.0,1023752.0,14434.0,2021-09-08T00:00:00.000,,,,,,
15,15,Los Angeles,Age Group,18-49,4408443.0,4408443.0,5129.0,379332.0,6684.0,3010925.0,5566.0,3390257.0,1018186.0,1018186.0,1018186.0,15008.0,2021-09-09T00:00:00.000,,,,,,
16,16,Los Angeles,Age Group,18-49,4408443.0,4408443.0,5755.0,377569.0,8101.0,3019026.0,6338.0,3396595.0,1011848.0,1011848.0,1011848.0,15737.0,2021-09-10T00:00:00.000,,,,,,
17,17,Los Angeles,Age Group,18-49,4408443.0,4408443.0,3437.0,376042.0,5241.0,3024267.0,3714.0,3400309.0,1008134.0,1008134.0,1008134.0,16130.0,2021-09-11T00:00:00.000,,,,,,
