,Unnamed: 0,county,demographic_category,demographic_value,est_population,est_age_5plus_pop,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose,cumulative_unvax_total_pop,cumulative_unvax_12plus_pop,cumulative_unvax_5plus_pop,cumulative_booster_recip_count,date,bivalent_booster_recip_count,cumulative_bivalent_booster_recip_count,bivalent_booster_eligible_population,administered_year,up_to_date_count,cumulative_up_to_date_count
0,0,Los Angeles,Age Group,50-64,1971374.0,1971374.0,5.0,142614.0,4.0,1640208.0,5.0,1782822.0,188552.0,188552.0,188552.0,1071728.0,2022-07-04T00:00:00.000,,,,,,
1,1,Los Angeles,Age Group,50-64,1971374.0,1971374.0,127.0,142629.0,118.0,1640326.0,133.0,1782955.0,188419.0,188419.0,188419.0,1072160.0,2022-07-05T00:00:00.000,,,,,,
2,2,Los Angeles,Age Group,50-64,1971374.0,1971374.0,135.0,142657.0,109.0,1640435.0,137.0,1783092.0,188282.0,188282.0,188282.0,1072622.0,2022-07-06T00:00:00.000,,,,,,
3,3,Los Angeles,Age Group,50-64,1971374.0,1971374.0,110.0,142667.0,101.0,1640536.0,111.0,1783203.0,188171.0,188171.0,188171.0,1073075.0,2022-07-07T00:00:00.000,,,,,,
4,4,Los Angeles,Age Group,50-64,1971374.0,1971374.0,160.0,142686.0,144.0,1640680.0,163.0,1783366.0,188008.0,188008.0,188008.0,1073718.0,2022-07-08T00:00:00.000,,,,,,
5,5,Los Angeles,Age Group,50-64,1971374.0,1971374.0,138.0,142738.0,87.0,1640767.0,139.0,1783505.0,187869.0,187869.0,187869.0,1074083.0,2022-07-09T00:00:00.000,,,,,,
6,6,Los Angeles,Age Group,50-64,1971374.0,1971374.0,66.0,142748.0,58.0,1640825.0,68.0,1783573.0,187801.0,187801.0,187801.0,1074236.0,2022-07-10T00:00:00.000,,,,,,
7,7,Los Angeles,Age Group,50-64,1971374.0,1971374.0,94.0,142743.0,101.0,1640926.0,96.0,1783669.0,187705.0,187705.0,187705.0,1074645.0,2022-07-11T00:00:00.000,,,,,,
8,8,Los Angeles,Age Group,50-64,1971374.0,1971374.0,1480.0,148013.0,1741.0,1460301.0,1606.0,1608314.0,363060.0,363060.0,363060.0,12355.0,2021-09-01T00:00:00.000,,,,,,
9,9,Los Angeles,Age Group,50-64,1971374.0,1971374.0,1271.0,147741.0,1682.0,1461983.0,1410.0,1609724.0,361650.0,361650.0,361650.0,13099.0,2021-09-02T00:00:00.000,,,,,,
10,10,Los Angeles,Age Group,50-64,1971374.0,1971374.0,1593.0,147139.0,2372.0,1464355.0,1770.0,1611494.0,359880.0,359880.0,359880.0,14138.0,2021-09-03T00:00:00.000,,,,,,
11,11,Los Angeles,Age Group,50-64,1971374.0,1971374.0,896.0,146756.0,1348.0,1465703.0,965.0,1612459.0,358915.0,358915.0,358915.0,14580.0,2021-09-04T00:00:00.000,,,,,,
12,12,Los Angeles,Age Group,50-64,1971374.0,1971374.0,528.0,146646.0,651.0,1466354.0,541.0,1613000.0,358374.0,358374.0,358374.0,14905.0,2021-09-05T00:00:00.000,,,,,,
13,13,Los Angeles,Age Group,50-64,1971374.0,1971374.0,283.0,146551.0,389.0,1466743.0,294.0,1613294.0,358080.0,358080.0,358080.0,15024.0,2021-09-06T00:00:00.000,,,,,,
