,Unnamed: 0,county,demographic_category,demographic_value,est_population,est_age_5plus_pop,partially_vaccinated,total_partially_vaccinated,fully_vaccinated,cumulative_fully_vaccinated,at_least_one_dose,cumulative_at_least_one_dose,cumulative_unvax_total_pop,cumulative_unvax_12plus_pop,cumulative_unvax_5plus_pop,cumulative_booster_recip_count,date,bivalent_booster_recip_count,cumulative_bivalent_booster_recip_count,bivalent_booster_eligible_population,administered_year,up_to_date_count,cumulative_up_to_date_count
0,0,Los Angeles,Age Group,65+,1644144.0,1644144.0,105.0,109868.0,101.0,1324710.0,105.0,1434578.0,209566.0,209566.0,209566.0,992922.0,2022-07-05T00:00:00.000,,,,,,
1,1,Los Angeles,Age Group,65+,1644144.0,1644144.0,97.0,109851.0,114.0,1324824.0,97.0,1434675.0,209469.0,209469.0,209469.0,993257.0,2022-07-06T00:00:00.000,,,,,,
2,2,Los Angeles,Age Group,65+,1644144.0,1644144.0,90.0,109840.0,102.0,1324926.0,91.0,1434766.0,209378.0,209378.0,209378.0,993593.0,2022-07-07T00:00:00.000,,,,,,
3,3,Los Angeles,Age Group,65+,1644144.0,1644144.0,112.0,109849.0,103.0,1325029.0,112.0,1434878.0,209266.0,209266.0,209266.0,994057.0,2022-07-08T00:00:00.000,,,,,,
4,4,Los Angeles,Age Group,65+,1644144.0,1644144.0,66.0,109862.0,53.0,1325082.0,66.0,1434944.0,209200.0,209200.0,209200.0,994221.0,2022-07-09T00:00:00.000,,,,,,
5,5,Los Angeles,Age Group,65+,1644144.0,1644144.0,28.0,109844.0,46.0,1325128.0,28.0,1434972.0,209172.0,209172.0,209172.0,994322.0,2022-07-10T00:00:00.000,,,,,,
6,6,Los Angeles,Age Group,65+,1644144.0,1644144.0,73.0,109845.0,72.0,1325200.0,73.0,1435045.0,209099.0,209099.0,209099.0,994599.0,2022-07-11T00:00:00.000,,,,,,
7,7,Los Angeles,Age Group,65+,1644144.0,1644144.0,654.0,118441.0,737.0,1211034.0,715.0,1329475.0,314669.0,314669.0,314669.0,28209.0,2021-09-01T00:00:00.000,,,,,,
8,8,Los Angeles,Age Group,65+,1644144.0,1644144.0,609.0,118272.0,834.0,1211868.0,665.0,1330140.0,314004.0,314004.0,314004.0,30275.0,2021-09-02T00:00:00.000,,,,,,
9,9,Los Angeles,Age Group,65+,1644144.0,1644144.0,603.0,118037.0,878.0,1212746.0,643.0,1330783.0,313361.0,313361.0,313361.0,32497.0,2021-09-03T00:00:00.000,,,,,,
10,10,Los Angeles,Age Group,65+,1644144.0,1644144.0,321.0,117899.0,476.0,1213222.0,338.0,1331121.0,313023.0,313023.0,313023.0,33504.0,2021-09-04T00:00:00.000,,,,,,
11,11,Los Angeles,Age Group,65+,1644144.0,1644144.0,187.0,117878.0,211.0,1213433.0,190.0,1331311.0,312833.0,312833.0,312833.0,34144.0,2021-09-05T00:00:00.000,,,,,,
12,12,Los Angeles,Age Group,65+,1644144.0,1644144.0,122.0,117863.0,147.0,1213580.0,132.0,1331443.0,312701.0,312701.0,312701.0,34433.0,2021-09-06T00:00:00.000,,,,,,
13,13,Los Angeles,Age Group,65+,1644144.0,1644144.0,469.0,117545.0,850.0,1214430.0,532.0,1331975.0,312169.0,312169.0,312169.0,35844.0,2021-09-07T00:00:00.000,,,,,,
14,14,Los Angeles,Age Group,65+,1644144.0,1644144.0,471.0,117338.0,728.0,1215158.0,521.0,1332496.0,311648.0,311648.0,311648.0,37448.0,2021-09-08T00:00:00.000,,,,,,
15,15,Los Angeles,Age Group,65+,1644144.0,1644144.0,489.0,117153.0,704.0,1215862.0,519.0,1333015.0,311129.0,311129.0,311129.0,39112.0,2021-09-09T00:00:00.000,,,,,,
16,16,Los Angeles,Age Group,65+,1644144.0,1644144.0,487.0,116869.0,827.0,1216689.0,543.0,1333558.0,310586.0,310586.0,310586.0,40779.0,2021-09-10T00:00:00.000,,,,,,
17,17,Los Angeles,Age Group,65+,1644144.0,1644144.0,244.0,116730.0,402.0,1217091.0,263.0,1333821.0,310323.0,310323.0,310323.0,41611.0,2021-09-11T00:00:00.000,,,,,,
